영화ID,영화명,실패사유
87,루카,평점 항목 없음
127,파이프라인,평점 항목 없음
154,방탄소년단: 옛 투 컴 인 시네마,평점 항목 없음
160,코다,평점 항목 없음
184,인생은 뷰티풀: 비타돌체,평점 항목 없음
213,레미니센스,평점 항목 없음
236,그래비티,평점 항목 없음
246,뿌까의 짜장면파티,평점 항목 없음
263,F20,평점 항목 없음
312,메리 미,평점 항목 없음
325,뜨거운 피: 디 오리지널,평점 항목 없음
333,티탄,평점 항목 없음
355,최선의 삶,평점 항목 없음
360,팬텀: 더 뮤지컬 라이브,평점 항목 없음
362,스피릿,평점 항목 없음
411,로보카폴리 안전교실 교통편,평점 항목 없음
415,크레센도,평점 항목 없음
419,애플,평점 항목 없음
421,엄마의 땅: 그리샤와 숲의 주인,평점 항목 없음
438,리슨,평점 항목 없음
440,웃는남자 감독판,평점 항목 없음
455,아라시 20주년 투어 콘서트 5✕20,평점 항목 없음
462,원샷,평점 항목 없음
480,틸,평점 항목 없음
494,도어맨,평점 항목 없음
506,더 파더,평점 항목 없음
520,갈매기,평점 항목 없음
529,종착역,평점 항목 없음
544,이마 베프,평점 항목 없음
571,라인,평점 항목 없음
576,카사블랑카,평점 항목 없음
594,수라,평점 항목 없음
606,자전거 도둑,평점 항목 없음
616,트랜스,평점 항목 없음
624,원 웨이,평점 항목 없음
686,메기,평점 항목 없음
690,"2021 스웨그 에이지 : 외쳐, 조선!",평점 항목 없음
702,겨울왕국,평점 항목 없음
704,스크림,평점 항목 없음
706,메모리,평점 항목 없음
719,아담,평점 항목 없음
729,신의 손,평점 항목 없음
740,컨저링,평점 항목 없음
743,컨버세이션,평점 항목 없음
745,스프린터,평점 항목 없음
757,죽어도 좋은 경험: 천사여 악녀가 되라,평점 항목 없음
762,비올레타,평점 항목 없음
763,늑대들,평점 및 리뷰 없음
768,주연,평점 항목 없음
793,크림,평점 항목 없음
797,소설의 신,평점 항목 없음
799,더 데빌,평점 항목 없음
801,CCTV,평점 항목 없음
802,프라도 위대한 미술관,평점 항목 없음
807,소울,평점 항목 없음
814,부산행:익스텐디드,평점 항목 없음
845,블레이드 퍼피 워리어,평점 및 리뷰 없음
857,라임라이트,평점 항목 없음
868,거대한 서부,평점 항목 없음
872,사다코,평점 항목 없음
876,드림팰리스,평점 항목 없음
880,콘서트를 지켜라,평점 항목 없음
881,뮤지컬 번지점프를 하다,평점 항목 없음
885,남태평양,평점 항목 없음
896,캐리 러브콘서트 케이팝,평점 항목 없음
901,대장 부리바,평점 항목 없음
912,박서방,평점 항목 없음
918,상처뿐인 영광,평점 항목 없음
925,깨복쟁이,평점 항목 없음
927,킹 오브 프리즘 (바이 프리티 리듬),평점 항목 없음
943,캐슬 폴스: 머니 게임,평점 항목 없음
965,베르테르,평점 항목 없음
969,리스타트,평점 항목 없음
979,갱경떡삥이,평점 항목 없음
992,오싹한 동거,평점 및 리뷰 없음
1011,오즈의 마법사,평점 항목 없음
1015,그날,평점 항목 없음
1028,라이안의 처녀,평점 항목 없음
1029,유리씨즈,평점 항목 없음
1040,벤허,평점 항목 없음
1052,금지된 장난,평점 항목 없음
1065,레드슈즈,평점 항목 없음
1066,유황도의 모래,평점 항목 없음
1068,라보엠,평점 항목 없음
1069,수상한 옆집 아내,평점 항목 없음
1079,소돔과 고모라,평점 항목 없음
1098,일 트로바토레,평점 항목 없음
1099,귀향,평점 항목 없음
1115,어쌔신 트랩,평점 항목 없음
1117,에이리,평점 항목 없음
1123,이별,평점 항목 없음
1142,로제타,평점 항목 없음
1143,리유니언,평점 항목 없음
1145,이스트 워,평점 및 리뷰 없음
1152,우주에서 가장 밝은 지붕,평점 및 리뷰 없음
1159,애마부인,평점 항목 없음
1162,배심원들,평점 항목 없음
1168,써커스,평점 항목 없음
1177,흑권,평점 항목 없음
1189,맛있는 여동생,평점 항목 없음
1194,밴드스탠드,평점 항목 없음
1212,일 트로바토레,평점 항목 없음
1219,로스트 하이웨이,평점 항목 없음
1229,하이 스피드! –프리! 스타팅 데이즈-,평점 항목 없음
1233,흑기사,평점 항목 없음
1236,마지막부자 최준,평점 항목 없음
1240,사쿠라,평점 항목 없음
1252,하룻밤,평점 항목 없음
1256,키즈 리턴,평점 및 리뷰 없음
1263,레커닝,평점 항목 없음
1266,미망인,평점 항목 없음
1268,우리집,평점 항목 없음
1281,명색이 아프레걸,평점 항목 없음
1288,"그 시절, 너의 뒤를 쫓았다",평점 및 리뷰 없음
1292,스카라무슈,평점 항목 없음
1305,로빈슨가의 모험,평점 항목 없음
1308,모리스,평점 항목 없음
1328,"소년, 소녀를 만나다",평점 및 리뷰 없음
1334,스코치드 어스: 분노의 추격자,평점 항목 없음
1337,인간실격,평점 항목 없음
1364,솔로몬과 시바의 여왕,평점 항목 없음
1377,욕망의 모호한 대상,평점 항목 없음
1379,신경쇠약 직전의 여자,평점 항목 없음
1386,데드 맨,평점 항목 없음
1387,라이어×라이어,평점 항목 없음
1395,내 아내 이야기,평점 및 리뷰 없음
1398,아이,평점 항목 없음
1399,아파치 정션 : 무법자의 지대,평점 항목 없음
1403,사슴의 왕,평점 및 리뷰 없음
1405,정,평점 항목 없음
1407,대전투 1944,평점 및 리뷰 없음
1408,러스트 앤 본,평점 항목 없음
1410,성월동화,평점 항목 없음
1439,감각의 제국,평점 항목 없음
1442,윈드 리버: 감독판,평점 항목 없음
1451,시집가는 날,평점 항목 없음
1455,바이올렛 에버가든 – 영원과 자동 수기 인형 -,평점 항목 없음
1460,그랑블루 리마스터링 감독판,평점 항목 없음
1463,로스트 인 런던,평점 항목 없음
1464,메이드 인 아메리카,평점 항목 없음
1465,미션 투 베를린,평점 항목 없음
1468,섹스마스터,평점 항목 없음
1470,아내의 예쁜동생,평점 항목 없음
1473,애무의 신,평점 항목 없음
1476,테이크 백,평점 항목 없음
1483,키카,평점 항목 없음
1487,미스터 존스,평점 항목 없음
1505,최면,평점 항목 없음
1508,천지창조 / 더 바이블,평점 항목 없음
1512,금의위: 용의 비검,평점 항목 없음
1525,여름날,평점 항목 없음
1546,대명천군 금의위,평점 항목 없음
1547,레전더리 콘서트: 카를로스 클라이버,평점 항목 없음
1549,베르나르다 알바,평점 항목 없음
1553,금의위5-풍운제일검,평점 항목 없음
1556,너의 눈을 들여다보면,평점 항목 없음
1565,뷰티 인사이드,평점 항목 없음
1570,타임 이즈 업,평점 항목 없음
1586,블리츠,평점 항목 없음
1595,도굴: 패왕총,평점 및 리뷰 없음
1608,꽃장사,평점 항목 없음
1609,꽃장사 무삭제,평점 항목 없음
1610,나를 적신 집사 무삭제판,평점 항목 없음
1611,넣어준 관리인,평점 항목 없음
1612,돌려쓰기,평점 항목 없음
1614,땀샘터진 형의 아내,평점 항목 없음
1615,때려야 싼다 무삭제,평점 항목 없음
1616,마리아 브라운의 결혼,평점 항목 없음
1618,불쾌한 섹스,평점 항목 없음
1619,상애상친 : 여자 이야기,평점 항목 없음
1620,성스러운 아내,평점 항목 없음
1621,수상한 가정부,평점 항목 없음
1622,수상한 가정부 무삭제,평점 항목 없음
1623,시트적신 여기사,평점 항목 없음
1625,아이돌 승하의 19금 AV를 찍자,평점 항목 없음
1626,애욕의 사정공간,평점 항목 없음
1628,유부녀의 사육,평점 항목 없음
1629,음욕의 신혼생활,평점 항목 없음
1631,크게 만족한 아내,평점 항목 없음
1632,크리스마스 괴담 : 4가지 이야기,평점 항목 없음
1635,한지붕 세가족2,평점 항목 없음
1636,한지붕 세가족2 무삭제판,평점 항목 없음
1637,한지붕 세가족3,평점 항목 없음
1638,한지붕 세가족3 무삭제판,평점 항목 없음
1643,오델로,평점 항목 없음
1645,생일,평점 항목 없음
1655,빙점 '81,평점 항목 없음
1656,생사의 고백,평점 및 리뷰 없음
1660,경계선,평점 항목 없음
1661,마르셀리노,평점 항목 없음
1670,도굴: 귀취전설,평점 항목 없음
1676,"친구여, 조용히 잠들라",평점 항목 없음
1677,경성별희,평점 항목 없음
1689,지중해,평점 항목 없음
1695,글래디에이터 썬더,평점 항목 없음
1697,배신자,평점 항목 없음
1705,"1975 킬링필드, 푸난",평점 항목 없음
1709,탠저린,평점 항목 없음
1714,버팔로 `66,평점 항목 없음
1715,인생게임,평점 항목 없음
1719,라스칼라 갈라 콘서트: 별들을 다시 보려고,평점 항목 없음
1726,재키 브라운,평점 항목 없음
1732,쥐띠부인,평점 및 리뷰 없음
1736,"링2(1999년, 일본판)",평점 항목 없음
1742,러브 스파이: 바브 앤 스타,평점 항목 없음
1743,맛있는 섹스 그리고 사랑,평점 항목 없음
1761,사랑하는 당신에게,평점 항목 없음
1762,여인의 초상,평점 항목 없음
1764,이태원,평점 항목 없음
1770,송환,평점 항목 없음
1773,프라이비트 레슨:개인교수,평점 항목 없음
1774,당신을 기다리는 시간,평점 항목 없음
1788,말할 수 없는 비밀,평점 항목 없음
1789,세일즈맨,평점 항목 없음
1793,카산드라 크로스,평점 항목 없음
1796,최후의 총잡이,평점 항목 없음
1797,혼자,평점 항목 없음
1798,가면속의 아리아,평점 및 리뷰 없음
1813,마리솔의 리틀 앤젤스,평점 항목 없음
1816,북 오브 러브,평점 항목 없음
1818,시몬,평점 항목 없음
1819,얼굴들,평점 항목 없음
1821,원 웨이 티켓,평점 항목 없음
1846,가족이면 어때,평점 항목 없음
1847,공손한 마님의 음란한 저택,평점 항목 없음
1848,관능소설 : 묶여 버린 유부녀,평점 항목 없음
1852,니꺼 내꺼 다 내꺼,평점 항목 없음
1853,담보 대출: 당신에게 사랑 받고 싶어서,평점 항목 없음
1855,데스 밸리,평점 항목 없음
1858,마카오썸씽,평점 항목 없음
1859,무릎팍 보살: 성교부적삼행,평점 항목 없음
1860,보더라인,평점 항목 없음
1861,보지 말아야 할 것을 본 자,평점 항목 없음
1862,부부 교환,평점 항목 없음
1863,북클럽,평점 항목 없음
1864,사이판 로맨스 섹스본능,평점 항목 없음
1866,쉿!누나의 비밀 무삭제,평점 항목 없음
1867,안경,평점 항목 없음
1868,야한 세 친구,평점 항목 없음
1869,어댑테이션,평점 항목 없음
1870,엄마몰래 여대생 숙성과외,평점 항목 없음
1871,옆집 남자의 노리개가 된 부인,평점 항목 없음
1872,왕따 극복 : 쓰레기 분류 섹스,평점 항목 없음
