0,1,2
10,이 영화의 속편은 100% 성공이다. 원래 한국영화들 속편은 잘 안되고 속편 나오면 망하는 케이스던데 이번 범죄도시2는 속편 성공함 오랜만에 극장에서 다같이 웃으면서 봄 장이수 개웃기고 ㅋㅋㅋ 이번에도 명장면 + 명대사 많이 나온다 이 영화 꼭 봐라,범죄도시2
10,시리즈로 계속 나왔으면 좋겠다. 마동석한테 최적화된 작품이다.,범죄도시2
8,니가 강해상이냐? 아뇨. 구씬데요?,범죄도시2
10,전편을 보고 가야 장이수 얼굴만 봐도 웃음이 나오는 이유를 알 수 있습니다:),범죄도시2
9,와…. 손석구 연기 진짜 미쳣다…오바하는 범죄자연기가 아니라 ㄹㅇ 범죄자같음,범죄도시2
10,액션과 유머 적절한 5:5였다. 꼭 사운드 좋은 곳에서 보길,범죄도시2
10,장첸따위는 잊어라 구씨가 온다!!,범죄도시2
10,잼써잼써ㅠ 마블리 펀치 사운드 장난 아니니까 꼭 극장에서 보세요ㅋㅋ,범죄도시2
10,통쾌함을 마블에서 못보고 여기서 보네요. 스토리도 깔끔해서 몰입 하나도 안끊깁니다웃긴 요소가 기대벽이 있었음에도 꽤 있어요 개인적으로 조금 더 줘패고 싶었네요,범죄도시2
8,이건 크게 잘될만하다.,범죄도시2
10,진짜 쩐다. 특히 손석구 분노 연기 부들부들 떠는 게 디지고. 오랜만에 한국 영화 제대로 봤다. 천만 거뜬할 듯,범죄도시2
9,1편 윤계상 악역 하는거 보고 역대급 이라 생각했는데 손석구가 그걸 넘어선 느낌;;ㄷㄷ,범죄도시2
10,니 내 누군지 아늬? 나 하얼빈에 장첸이야,범죄도시2
10,1편이 꽤나 수작이라 내심 걱정스러운 마음으로 봤는데 너무 재미져요 2!.3편도 기대!,범죄도시2
10,솔직하게 장첸보다 강해상이 더 강해보인다,범죄도시2
10,아.. 범죄자가 그렇게 섹시하면 어떡해요. 반해버렸네,범죄도시2
10,누가 5야 ? 저도 순간 고민했습니다,범죄도시2
10,와 한국영화의 속편 중에 처음으로 실망 안했다..,범죄도시2
7,구씨가 산포시로 도망친 이유,범죄도시2
10,주인공이 절대 걱정이 안되는 영화.,범죄도시2
10, 1보다 재밌는게 말이되나여??진심 ㅋㅋㅋㅋ명장면 많고 웃긴장면도 많곸ㅋㅋㅋ감탄해씀 누구의 머릿속에서 나온아이디어인짘ㅋㅋ특히 에스컬레이터 씬ㅋㅋㅋㅋ그냥 보세여!!밑에 누가 킬링타임용이라고 적었던데 장난하나요..긴장감에 웃긴장면에 지루할 틈이 없습니다 ..마블리 너무...</span>,범죄도시2
10,"설마 재밌을까 했는데,개인적으로 2가 더 재밌었어요.",범죄도시2
10,손석구.... 연기 너무 좋다...,범죄도시2
10,악당이 너무 쎈 악당인데 주인공이 더쎄서 좋아욬ㅋㅋㅋ개인적으로는 1편보다 재밌게봤습니다.,범죄도시2
10,웃기기도 하고 손석구가 진짜 연기를 잘함 진짜 범죄자 처럼 막 합맞춰서 때리는게 아니라 진짜 실제같이 싸우고 그래서 보기가 좋음 특히 사람 죽일때도 아무 감정없어보이는 눈빛이 진짜 대박임,범죄도시2
10,"1편의 장점을 극대화하고, 1편의 단점을 보완함.한마디로 ㅈㄴ 재밌음",범죄도시2
10,졸잼!!!!아 구씨 사랑해,범죄도시2
10,형은 다 알 수가 있어~~,범죄도시2
10,손석구 ㄹㅇ 진짜 뭐냐이게,범죄도시2
8,윤계상 장첸의 악역 포스를 성공적으로 이어받은 손석구 여전히 묵직한 마동석의 한 방,범죄도시2
10,시작하자마자 올라간 재미는 나올때까지 내려가질 않네,범죄도시2
8,주인공 빼고 모두가 걱정되는 영화,범죄도시2
10,"범죄도시1을 재미있게보아서 2편을 보았는데 후회없었네요 마동석,손석구 배우 액션 좋았습니다.",범죄도시2
9,요 근래 극장에서 본 연화들 중에 정말 오랜만에 무지하게 재미나게 봄!,범죄도시2
10,"평점이 너무 높아서 알바풀은지 알았더니 아니였네,1편보다 나은 2편은 없다는 말이 무색할만큼 더 몰입해서 봄. 액션은 속이 후련 , 빌런은 더 업그레이드이게 왜 15세인지 의문이지만 시간가는지 모르고 봤음",범죄도시2
7,4년은 너무 길었다. 3편은 2년 내로 내줘요,범죄도시2
10,와! 손석구의 빌런 오싹함!,범죄도시2
10,마동석 주먹에서 바주카포 소리나요 ㅋㅋㅋ손석구배우의 매력을 알게되었습니다 내용을 다 알꺼같지만 통쾌해서 재밌어요 굿굿,범죄도시2
10,손석구는 꽃무늬 옷을 입어도 츄리닝을 입어도 간지가 나고 부티가 나요. 눈동자보고 나 신창원인 줄 알았네. 무서워.,범죄도시2
10,"1편도 괜찮았지만, 2편은 마동석의 액션이나 범죄도시에서 마석도는 대체불가, 최종빌런으로 나온 손석구배우의 전작에서의 로맨틱한 연기나 선한 연기뿐만 아니라 악역연기도 괜찮았어요",범죄도시2
10,손석구의 또다른 매력  발견!!  너무 끔찍한 악역인데 손석구만의 매력이 뿜어져 나온다,범죄도시2
7,한 대 맞을 때 마다 트럭에 치인 듯 날아가는 범죄자들. 이 맛에 본다,범죄도시2
9,손석구 포스도 윤계상 못지 않았다.,범죄도시2
10,범죄도시1  장첸과 똘마니들이 워낙 강렬했지만2편에서 손석구 연기 지림닥터스트레인지 보다 재밋엇음다음 3탄도 기대가 됨장이수는 앞으로도 계속 나와야 할듯 ㅋㅋㅋ,범죄도시2
10,찾았다 다음영화 진실의 방으로! 진짜 꼭보세요 시사회때 봤는데 평점 10점만점주려고 기다림ㅋㅋ,범죄도시2
10,와 처음부터 끝까지 지루할 틈이 없었던 영화.몰입도가 장난아니었고 배우분들 연기가 최고입니다:-) 너무 고생하셨다는 말씀드리고 싶고 좋은 영화 만들어주셔서 감사합니다!!,범죄도시2
8,웃기고 재밌어요 근데 직접적인 신체훼손 장면만 없을 뿐이지 15세라고 하기엔 너무 잔인합니다ㅠㅠ 청소년이 본다면 주의해주세요 1편보다 범죄행위들이 잔인함,범죄도시2
8,이제 하나의 장르가 된 마동석,범죄도시2
8,개인적으로 무섭기는 1편이 더 무서움 1편에선 장첸보단 장첸 똘마니 두분이 찐 조선족같아 무서웠고 2편은 똘마니들은 그냥 파리같았음 손석구 원탑. 손석구 그냥 또라이같음 눈돌아서 살이 파들파들 떠는데 찐 도라이인줄,범죄도시2
10,손석구는 악역도 진짜 소화 잘 하네요... 마동석은 믿고 보고 재밌었는데 15금치고는 잔인해요 때리는 사운드도 소리가 커서 놀람 ㅋㅋㅋ,범죄도시2
10,기대하고 갔는데 기대에 부응했음,범죄도시2
10,손석구님 보려고 삼사년만에 영화관 갔어요개봉일에 맞춰서 영화본거 처음이에여 너무 기대하면 재미없을까봐 걱정했는데 액션도 통쾌하고 재밌었음 연기 넘 잘해여 또 보고 싶어요 같이 간 언니도 손석구님 너무 매력있다고 같이 빠짐 범죄도시 1도 넘 무섭고 재밌었는데 2 는 액션이...</span>,범죄도시2
10,아무도 언급안하는 명대사 - 어떻게 오셨어요? - 응 버스타고 왔어,범죄도시2
10,간만에 영화같은 영화 봤네요..최근 극장에서 본 영화 다 실망이었는데코믹도 있고 액션도 있고 굿3편도 만들어 주시길..,범죄도시2
8,마동석 경찰이라 다행이다..,범죄도시2
8,마동석 배우님이 인터뷰에서 장첸은 호랑이이고 강해상은 사자라고 비유했던데 정말 맞는 것 같습니다ㅎㅎ 강해상 역할을 맡은 손석구 배우님 표정 연기가 정말 대단하시더라구요 예고편에 잠깐 나온... 분에 못이겨 안면근육 떨며 아득바득 가는 얼굴 연기는 정말... ㅎ잔인한 장면들도 ...</span>,범죄도시2
10,개인적으로 1보다 재밌었음.손석구 대박,범죄도시2
9,주먹에서 총소리가 나는 시원한 타격감,범죄도시2
10,와~손석구 ~그냥 강해상이네요~배역소화력인정~속시원한 액션영화 잘봤습니다~,범죄도시2
10,손석구님 볼살 떨리는 연기 지렸습니다,범죄도시2
10,1편만큼 너무 재미있는데 ㅋㅋ 손석구 악역도 연기잘하네요,범죄도시2
9,1편과 유사한 방식으로 전개되고 예상되는 마동석의 유머와 액션이 상상되지만 신선하게 보여지며 몰입감 높게 빠져들며 잼있다.올해 한국 오락영화중에 원티어다.,범죄도시2
8,마동석은 평생 연기 변신 안 했으면 좋겠다,범죄도시2
8,수위는 낮아졌는데 장첸보다 강해상이 더 무서움 ;;,범죄도시2
10,손석구 연기 개미쳣네 ㄹㅇ 오줌지릴뻔,범죄도시2
8,형은 재미있는지 재미없는지 다 알수가 있어 ^^,범죄도시2
10,와 진짜 3년만에 영화관가서 보는데 간만에 인생영화 본듯 ㅠㅠ 사람들 다같이 엄청 웃고 이런 분위기를 이시기에 느낀것 자체가 올해 성공작이다 굿굿!!!,범죄도시2
9,몰려든 좌중을 일갈하는 강해상의 카리스마는 근래 본 모든 빌런 중 가장 압권.,범죄도시2
10,몰래하는 베트남 수사 같은 무리수가 안 나와서 다행이다,범죄도시2
10,"속편 걱정 많이들 하는데, 범죄도시는 속편 큰 걱정 필요없는 시리즈임을 깨닫게 되었다. 빌런만 좀 잘 세우고, 스토리에 큰 헛점만 없으면, 마동석만의 액션 타격감만으로도 롱런 가능! 어서 3편 만들어 주세요~!!!",범죄도시2
8,U S B / 니 내가 누군지 아이? 나 하얼삔 장첸이야 / 누가 5야?,범죄도시2
10,범죄도시1이 워낙 잘되었고 장첸이라는 악역이 역대급 악역으로 많이 회자된데다 보통 전작보다 나은 속편은 없다는 말이 있을정도이기에 걱정이 많았으나  이는 기우였다범죄도시1의 재미도를 뛰어넘은 속편이었으며역대급 악역이라는 장첸의 존재감이 사라질 정도노 강해상의 악역...</span>,범죄도시2
10,"왜 물어, 좀비냐?",범죄도시2
10,그냥 재밌음 속이 후련함,범죄도시2
10,와 ..손석구님 부들부들 하는 게 화면을 넘어서도 느껴져요ㅠㅠ진짜 최고 그래도 범죄도시의 저의 최애는 강이수..얼굴만 봐도 웃겨,범죄도시2
10,2는 재미없을까봐 걱정했는데 겁나 몰입해서 보고옴ㅎㅎ 재밌었습니다!!,범죄도시2
10,시즌제처럼 출연진들이 그래도 이어져서 가장 좋았습니다. 다소 뻔한 구석도 있었지만 범죄자를 저렇게 시원하게 때려잡는 세상이 되면 좋겠단 생각을 해봅니다.,범죄도시2
10,1편보다 개인적으로 훨씬 재밌었음,범죄도시2
10,재밌음 너무 재밌음 손석구 연기 미쳤음근데 최대 단점은 15세로 설정한거임볼 거면 10시 이후에 보시길 .1,범죄도시2
10,순전히 구씨 보러 다녀옴. 악역도 멋져븜!,범죄도시2
